energy,error,flux
5.239999999999999,0.0,441.1341000000001
5.25,0.0,450.3024
5.26,0.0,450.3024
5.27,0.0,450.3024
5.28,0.0,400.3704
5.29,0.0,400.3704
5.3,0.0,400.3704
5.32,0.0,424.9806
5.33,0.0,424.9806
5.34,0.0,424.9806
5.35,0.0,442.7013
5.359999999999999,0.0,442.7013
5.369999999999999,0.0,442.7013
5.38,0.0,402.184
5.39,0.0,402.184
5.3999999999999995,0.0,402.184
5.42,0.0,356.97060000000005
5.43,0.0,356.97060000000005
5.4399999999999995,0.0,356.97060000000005
5.45,0.0,359.93420000000003
5.46,0.0,359.93420000000003
5.47,0.0,359.93420000000003
5.48,0.0,360.05831
5.49,0.0,360.05831
5.5,0.0,360.05831
5.52,0.0,360.48238
5.529999999999999,0.0,360.48238
5.539999999999999,0.0,360.48238
5.55,0.0,370.5849
5.56,0.0,370.5849
5.569999999999999,0.0,370.5849
5.58,0.0,364.35189999999994
5.59,0.0,364.35189999999994
5.6,0.0,364.35189999999994
5.61,0.0,359.71290000000005
5.62,0.0,359.71290000000005
5.63,0.0,359.71290000000005
5.65,0.0,342.47710000000006
5.66,0.0,342.47710000000006
5.67,0.0,342.47710000000006
5.68,0.0,290.22372
5.6899999999999995,0.0,290.22372
5.699999999999999,0.0,290.22372
5.71,0.0,291.684
5.72,0.0,291.684
5.7299999999999995,0.0,291.684
5.75,0.0,289.41732999999994
5.76,0.0,289.41732999999994
5.77,0.0,289.41732999999994
5.78,0.0,254.67122
5.79,0.0,254.67122
5.8,0.0,254.67122
5.81,0.0,239.7407
5.819999999999999,0.0,239.7407
5.829999999999999,0.0,239.7407
5.85,0.0,229.25295000000003
5.859999999999999,0.0,229.25295000000003
5.869999999999999,0.0,229.25295000000003
5.88,0.0,240.7753
5.89,0.0,240.7753
5.8999999999999995,0.0,240.7753
5.91,0.0,223.49713000000003
5.92,0.0,223.49713000000003
5.93,0.0,223.49713000000003
5.95,0.0,206.6442
5.96,0.0,206.6442
5.97,0.0,206.6442
5.98,0.0,197.49864
5.99,0.0,197.49864
6.0,0.0,197.49864
6.01,0.0,223.39729
6.02,0.0,223.39729
6.029999999999999,0.0,223.39729
6.04,0.0,205.23990000000003
6.05,0.0,205.23990000000003
6.06,0.0,205.23990000000003
6.08,0.0,203.9826
6.09,0.0,203.9826
6.1,0.0,203.9826
6.11,0.0,203.0768
6.12,0.0,203.0768
6.13,0.0,203.0768
6.14,0.0,207.755
6.1499999999999995,0.0,207.755
6.159999999999999,0.0,207.755
6.18,0.0,175.03017000000003
6.1899999999999995,0.0,175.03017000000003
6.199999999999999,0.0,175.03017000000003
6.21,0.0,166.79139999999998
6.22,0.0,166.79139999999998
6.2299999999999995,0.0,166.79139999999998
6.24,0.0,193.78561
6.25,0.0,193.78561
6.26,0.0,193.78561
6.28,0.0,172.64524
6.29,0.0,172.64524
6.3,0.0,172.64524
6.31,0.0,205.38364999999996
6.319999999999999,0.0,205.38364999999996
6.329999999999999,0.0,205.38364999999996
6.34,0.0,229.21811999999997
6.35,0.0,229.21811999999997
6.359999999999999,0.0,229.21811999999997
6.37,0.0,264.7503
6.38,0.0,264.7503
6.39,0.0,264.7503
6.41,0.0,347.6782
6.42,0.0,347.6782
6.43,0.0,347.6782
6.44,0.0,408.797
6.45,0.0,408.797
6.46,0.0,408.797
6.47,0.0,531.8338
6.4799999999999995,0.0,531.8338
6.489999999999999,0.0,531.8338
6.51,0.0,683.8801000000001
6.52,0.0,683.8801000000001
6.529999999999999,0.0,683.8801000000001
6.54,0.0,852.3826
6.55,0.0,852.3826
6.56,0.0,852.3826
6.57,0.0,932.3411
6.58,0.0,932.3411
6.59,0.0,932.3411
6.61,0.0,969.726
6.62,0.0,969.726
6.63,0.0,969.726
6.64,0.0,884.3625
6.6499999999999995,0.0,884.3625
6.659999999999999,0.0,884.3625
6.67,0.0,725.0076
6.68,0.0,725.0076
6.6899999999999995,0.0,725.0076
6.7,0.0,514.4659
