 V0_LATITUDE,V0_LONGITUDE, V1_LATITUDE,V1_LONGITUDE, V2_LATITUDE,V2_LONGITUDE, V3_LATITUDE,V3_LONGITUDE,       MG_WT,  MG_FIT_UNC,  MG_SYS_UNC,  MG_TOT_UNC,       AL_WT,  AL_FIT_UNC,  AL_SYS_UNC,  AL_TOT_UNC,       SI_WT,  SI_FIT_UNC,  SI_SYS_UNC,  SI_TOT_UNC,       FE_WT,  FE_FIT_UNC,  FE_SYS_UNC,  FE_TOT_UNC
       77.25,       93.37,       71.47,       92.37,       71.41,       95.40,       77.16,       97.75,        5.75,        1.15,        1.32,        1.75,       19.80,        1.94,        3.63,        4.12,       16.79,        2.26,        4.38,        4.93,        3.20,        0.00,        4.10,        4.10
       77.14,       92.25,       71.36,       91.27,       71.30,       94.27,       77.05,       96.59,        7.95,        1.42,        1.32,        1.94,       19.66,        1.88,        3.63,        4.09,       15.91,        2.36,        4.38,        4.97,        3.19,        0.00,        4.10,        4.10
      -68.63,       84.37,      -74.36,       82.75,      -74.43,       85.99,      -68.68,       86.75,        7.59,        0.92,        1.32,        1.61,       16.07,        1.22,        3.63,        3.83,       16.26,        1.53,        4.38,        4.64,        4.84,        0.00,        4.10,        4.10
      -58.90,       85.77,      -64.63,       85.07,      -64.67,       87.09,      -58.93,       87.43,        5.61,        0.58,        1.32,        1.44,       16.44,        0.88,        3.63,        3.74,       16.95,        1.05,        4.38,        4.50,        5.40,        0.00,        4.10,        4.10
      -49.13,       86.51,      -54.87,       86.12,      -54.90,       87.61,      -49.16,       87.82,        8.05,        0.50,        1.32,        1.41,       13.47,        0.63,        3.63,        3.69,       15.95,        0.81,        4.38,        4.45,        6.03,        0.00,        4.10,        4.10
      -34.47,       87.16,      -40.21,       86.95,      -40.23,       88.06,      -34.49,       88.19,       10.46,        0.44,        1.32,        1.39,       12.35,        0.48,        3.63,        3.67,       16.37,        0.66,        4.38,        4.43,        6.66,        0.00,        4.10,        4.10
       -5.13,       87.87,      -10.87,       87.76,      -10.89,       88.63,       -5.14,       88.73,        8.08,        0.29,        1.32,        1.35,       14.53,        0.37,        3.63,        3.65,       15.66,        0.48,        4.38,        4.40,        5.83,        0.00,        4.10,        4.10
        4.65,       88.04,       -1.10,       87.94,       -1.12,       88.80,        4.63,       88.91,       10.11,        0.34,        1.32,        1.36,       11.02,        0.36,        3.63,        3.65,       17.22,        0.50,        4.38,        4.40,        8.88,        0.00,        4.10,        4.10
       24.16,       88.36,       18.41,       88.26,       18.39,       89.19,       24.14,       89.34,        6.22,        0.26,        1.32,        1.35,       16.32,        0.39,        3.63,        3.65,       15.30,        0.47,        4.38,        4.40,        5.41,        0.00,        4.10,        4.10
       33.89,       88.54,       28.13,       88.43,       28.11,       89.44,       33.87,       89.63,        5.84,        0.28,        1.32,        1.35,       16.51,        0.43,        3.63,        3.66,       16.41,        0.51,        4.38,        4.41,        5.41,        0.00,        4.10,        4.10
       53.30,       89.04,       47.53,       88.86,       47.51,       90.22,       53.27,       90.60,        5.51,        0.39,        1.32,        1.38,       18.51,        0.64,        3.63,        3.69,       16.98,        0.75,        4.38,        4.44,        3.23,        0.00,        4.10,        4.10
       77.44,       91.24,       71.66,       90.21,       71.60,       93.27,       77.34,       95.67,        6.56,        0.94,        1.32,        1.62,       18.74,        1.40,        3.63,        3.89,       16.80,        1.69,        4.38,        4.69,        3.19,        0.00,        4.10,        4.10
      -61.68,       84.38,      -67.41,       83.52,      -67.46,       85.78,      -61.71,       86.19,        6.89,        0.61,        1.32,        1.45,       14.45,        0.83,        3.63,        3.73,       16.47,        1.03,        4.38,        4.50,        4.84,        0.00,        4.10,        4.10
      -47.03,       85.54,      -52.77,       85.19,      -52.80,       86.60,      -47.06,       86.79,        8.32,        0.53,        1.32,        1.42,       14.85,        0.67,        3.63,        3.69,       16.62,        0.85,        4.38,        4.46,        6.37,        0.00,        4.10,        4.10
      -32.37,       86.15,      -38.10,       85.95,      -38.13,       87.02,      -32.39,       87.15,       10.04,        0.45,        1.32,        1.39,       13.90,        0.51,        3.63,        3.67,       15.49,        0.68,        4.38,        4.43,        6.07,        0.00,        4.10,        4.10
      -12.80,       86.64,      -18.53,       86.51,      -18.55,       87.40,      -12.81,       87.51,        6.80,        0.27,        1.32,        1.35,       16.28,        0.39,        3.63,        3.65,       15.98,        0.47,        4.38,        4.40,        4.08,        0.00,        4.10,        4.10
       -7.90,       86.73,      -13.64,       86.62,      -13.66,       87.49,       -7.92,       87.59,        6.08,        0.24,        1.32,        1.34,       15.67,        0.35,        3.63,        3.65,       15.24,        0.42,        4.38,        4.40,        4.57,        0.00,        4.10,        4.10
